№,BOOK ID,AUTHOR(S),BOOK NAME,PUBLISHER,YEAR,ISBN,LANGUAGE(S),GENRE(S),CONDITION (0-5),STATUS,REC CREATION DATE,REC UPDATE DATE,STORAGE CELL,QR LINK,IMAGE LINK
227,TL000000227,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000227.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000227.jpg
228,TL000000228,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000228.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000228.jpg
229,TL000000229,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000229.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000229.jpg
230,TL000000230,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000230.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000230.jpg
231,TL000000231,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000231.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000231.jpg
232,TL000000232,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000232.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000232.jpg
233,TL000000233,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000233.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000233.jpg
234,TL000000234,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000234.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000234.jpg
235,TL000000235,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000235.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000235.jpg
236,TL000000236,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000236.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000236.jpg
237,TL000000237,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000237.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000237.jpg
238,TL000000238,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000238.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000238.jpg
239,TL000000239,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000239.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000239.jpg
240,TL000000240,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000240.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000240.jpg
241,TL000000241,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000241.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000241.jpg
242,TL000000242,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000242.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000242.jpg
243,TL000000243,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000243.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000243.jpg
244,TL000000244,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000244.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000244.jpg
245,TL000000245,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000245.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000245.jpg
246,TL000000246,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000246.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000246.jpg
247,TL000000247,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000247.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000247.jpg
248,TL000000248,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000248.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000248.jpg
249,TL000000249,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000249.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000249.jpg
250,TL000000250,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000250.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000250.jpg
251,TL000000251,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000251.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000251.jpg
252,TL000000252,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000252.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000252.jpg
253,TL000000253,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000253.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000253.jpg
254,TL000000254,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000254.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000254.jpg
255,TL000000255,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000255.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000255.jpg
256,TL000000256,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000256.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000256.jpg
257,TL000000257,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000257.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000257.jpg
258,TL000000258,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000258.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000258.jpg
259,TL000000259,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000259.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000259.jpg
260,TL000000260,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000260.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000260.jpg
261,TL000000261,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000261.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000261.jpg
262,TL000000262,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000262.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000262.jpg
263,TL000000263,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000263.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000263.jpg
264,TL000000264,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000264.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000264.jpg
265,TL000000265,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000265.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000265.jpg
266,TL000000266,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000266.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000266.jpg
267,TL000000267,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000267.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000267.jpg
268,TL000000268,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000268.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000268.jpg
269,TL000000269,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000269.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000269.jpg
270,TL000000270,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000270.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000270.jpg
271,TL000000271,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000271.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000271.jpg
272,TL000000272,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000272.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000272.jpg
273,TL000000273,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000273.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000273.jpg
274,TL000000274,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000274.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000274.jpg
275,TL000000275,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000275.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000275.jpg
276,TL000000276,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000276.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000276.jpg
277,TL000000277,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000277.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000277.jpg
278,TL000000278,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000278.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000278.jpg
279,TL000000279,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000279.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000279.jpg
280,TL000000280,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000280.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000280.jpg
281,TL000000281,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000281.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000281.jpg
282,TL000000282,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000282.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000282.jpg
283,TL000000283,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000283.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000283.jpg
284,TL000000284,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000284.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000284.jpg
285,TL000000285,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000285.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000285.jpg
286,TL000000286,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000286.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000286.jpg
287,TL000000287,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000287.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000287.jpg
288,TL000000288,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000288.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000288.jpg
289,TL000000289,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000289.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000289.jpg
290,TL000000290,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000290.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000290.jpg
291,TL000000291,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000291.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000291.jpg
292,TL000000292,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000292.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000292.jpg
293,TL000000293,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000293.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000293.jpg
294,TL000000294,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000294.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000294.jpg
295,TL000000295,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000295.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000295.jpg
296,TL000000296,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000296.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000296.jpg
297,TL000000297,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000297.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000297.jpg
298,TL000000298,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000298.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000298.jpg
299,TL000000299,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000299.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000299.jpg
300,TL000000300,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000300.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000300.jpg
301,TL000000301,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000301.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000301.jpg
302,TL000000302,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000302.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000302.jpg
303,TL000000303,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000303.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000303.jpg
304,TL000000304,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000304.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000304.jpg
305,TL000000305,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000305.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000305.jpg
306,TL000000306,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000306.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000306.jpg
307,TL000000307,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000307.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000307.jpg
308,TL000000308,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000308.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000308.jpg
309,TL000000309,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000309.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000309.jpg
310,TL000000310,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000310.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000310.jpg
311,TL000000311,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000311.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000311.jpg
312,TL000000312,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000312.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000312.jpg
313,TL000000313,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000313.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000313.jpg
314,TL000000314,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000314.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000314.jpg
315,TL000000315,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000315.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000315.jpg
316,TL000000316,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000316.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000316.jpg
317,TL000000317,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000317.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000317.jpg
318,TL000000318,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000318.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000318.jpg
319,TL000000319,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000319.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000319.jpg
320,TL000000320,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000320.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000320.jpg
321,TL000000321,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000321.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000321.jpg
322,TL000000322,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000322.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000322.jpg
323,TL000000323,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000323.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000323.jpg
324,TL000000324,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000324.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000324.jpg
325,TL000000325,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000325.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000325.jpg
326,TL000000326,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000326.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000326.jpg
327,TL000000327,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000327.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000327.jpg
328,TL000000328,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000328.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000328.jpg
329,TL000000329,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000329.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000329.jpg
330,TL000000330,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000330.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000330.jpg
331,TL000000331,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000331.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000331.jpg
332,TL000000332,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000332.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000332.jpg
333,TL000000333,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000333.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000333.jpg
334,TL000000334,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000334.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000334.jpg
335,TL000000335,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000335.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000335.jpg
336,TL000000336,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000336.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000336.jpg
337,TL000000337,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000337.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000337.jpg
338,TL000000338,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000338.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000338.jpg
339,TL000000339,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000339.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000339.jpg
340,TL000000340,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000340.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000340.jpg
341,TL000000341,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000341.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000341.jpg
342,TL000000342,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000342.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000342.jpg
343,TL000000343,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000343.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000343.jpg
344,TL000000344,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000344.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000344.jpg
345,TL000000345,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000345.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000345.jpg
346,TL000000346,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000346.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000346.jpg
347,TL000000347,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000347.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000347.jpg
348,TL000000348,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000348.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000348.jpg
349,TL000000349,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000349.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000349.jpg
350,TL000000350,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000350.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000350.jpg
351,TL000000351,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000351.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000351.jpg
352,TL000000352,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000352.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000352.jpg
353,TL000000353,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000353.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000353.jpg
354,TL000000354,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000354.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000354.jpg
355,TL000000355,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000355.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000355.jpg
356,TL000000356,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000356.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000356.jpg
357,TL000000357,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000357.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000357.jpg
358,TL000000358,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000358.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000358.jpg
359,TL000000359,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000359.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000359.jpg
360,TL000000360,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000360.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000360.jpg
361,TL000000361,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000361.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000361.jpg
362,TL000000362,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000362.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000362.jpg
363,TL000000363,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000363.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000363.jpg
364,TL000000364,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000364.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000364.jpg
365,TL000000365,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000365.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000365.jpg
366,TL000000366,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000366.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000366.jpg
367,TL000000367,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000367.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000367.jpg
368,TL000000368,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000368.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000368.jpg
369,TL000000369,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000369.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000369.jpg
370,TL000000370,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000370.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000370.jpg
371,TL000000371,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000371.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000371.jpg
372,TL000000372,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000372.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000372.jpg
373,TL000000373,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000373.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000373.jpg
374,TL000000374,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000374.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000374.jpg
375,TL000000375,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000375.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000375.jpg
